,Disease Code,Disease,Symptom Code,Symptom,Weight,Noise
71,C0032285,pneumonia,none,non,0.3,0.03
72,C0032285,pneumonia,none,wheezing,0.3,0.03
73,C0032285,pneumonia,none,haemoptysis,0.1,0.03
74,C0032285,pneumonia,none,distress respiratory,0.3,0.03
75,C0032285,pneumonia,none,tachypnea,0.6,0.03
76,C0032285,pneumonia,none,malaise,0.6,0.03
77,C0032285,pneumonia,none,night sweat,0.3,0.03
78,C0018802,failure heart congestive,none,shortness of breath,0.9,0.03
79,C0018802,failure heart congestive,none,orthopnea,0.6,0.03
80,C0018802,failure heart congestive,none,jugular venous distention,0.6,0.03
81,C0018802,failure heart congestive,none,rale,0.6,0.03
82,C0018802,failure heart congestive,none,dyspnea,0.9,0.03
83,C0018802,failure heart congestive,none,cough,0.9,0.03
84,C0018802,failure heart congestive,none,wheezing,0.6,0.03
85,C0038454,accidentcerebrovascular,none,dysarthria,0.6,0.03
86,C0038454,accidentcerebrovascular,none,asthenia,0.6,0.03
87,C0038454,accidentcerebrovascular,none,speech slurred,0.6,0.03
88,C0038454,accidentcerebrovascular,none,facial paresis,0.6,0.03
89,C0038454,accidentcerebrovascular,none,hemiplegia,0.6,0.03
90,C0038454,accidentcerebrovascular,none,unresponsiveness,0.3,0.03
91,C0038454,accidentcerebrovascular,none,seizure,0.3,0.03
92,C0038454,accidentcerebrovascular,none,numbness,0.6,0.03
93,C0027051,myocardial infarction,none,pain chest,0.9,0.03
94,C0027051,myocardial infarction,none,st segment elevation,0.9,0.03
95,C0027051,myocardial infarction,none,sweat,0.6,0.03
96,C0027051,myocardial infarction,none,sweating increased,0.6,0.03
97,C0027051,myocardial infarction,none,shortness of breath,0.9,0.03
98,C0027051,myocardial infarction,none,st segment depression,0.6,0.03
99,C0027051,myocardial infarction,none,hypokinesia,0.3,0.03
100,C0027051,myocardial infarction,none,angina pectoris,0.6,0.03
101,C0027051,myocardial infarction,none,pressure chest,0.6,0.03
102,C0027051,myocardial infarction,none,t wave inverted,0.6,0.03
103,C0027051,myocardial infarction,none,orthopnea,0.3,0.03
104,C0027051,myocardial infarction,none,rale,0.3,0.03
105,C0027051,myocardial infarction,none,chest tightness,0.6,0.03
106,C0027051,myocardial infarction,none,presence of q wave,0.6,0.03
107,C0027051,myocardial infarction,none,palpitation,0.3,0.03
108,C0027051,myocardial infarction,none,dyspnea,0.6,0.03
109,C0027051,myocardial infarction,none,chest discomfort,0.6,0.03
110,C0027051,myocardial infarction,none,bradycardia,0.1,0.03
111,C0027051,myocardial infarction,none,syncope,0.3,0.03
112,C0020443,hypercholesterolemia,none,pain,0.6,0.03
113,C0020443,hypercholesterolemia,none,pain chest,0.6,0.03
114,C0020443,hypercholesterolemia,none,sweat,0.6,0.03
115,C0020443,hypercholesterolemia,none,sweating increased,0.6,0.03
116,C0020443,hypercholesterolemia,none,nonsmoker,0.3,0.03
117,C0020443,hypercholesterolemia,none,pressure chest,0.6,0.03
118,C0020443,hypercholesterolemia,none,syncope,0.3,0.03
119,C0020443,hypercholesterolemia,none,numbness,0.3,0.03
120,C0020443,hypercholesterolemia,none,chest discomfort,0.6,0.03
121,C0020443,hypercholesterolemia,none,shortness of breath,0.6,0.03
122,C0020443,hypercholesterolemia,none,st segment depression,0.3,0.03
123,C0020443,hypercholesterolemia,none,worry,0.6,0.03
124,C0020443,hypercholesterolemia,none,t wave inverted,0.3,0.03
125,C0020443,hypercholesterolemia,none,bradycardia,0.3,0.03
126,C0020443,hypercholesterolemia,none,dyspnea,0.6,0.03
127,C0021311,infection,none,fever,0.9,0.03
128,C0021311,infection,none,erythema,0.6,0.03
129,C0021311,infection,none,decreased translucency,0.3,0.03
130,C0021311,infection,none,hepatosplenomegaly,0.1,0.03
131,C0021311,infection,none,chill,0.6,0.03
132,C0021311,infection,none,pruritus,0.3,0.03
133,C0021311,infection,none,diarrhea,0.6,0.03
134,C0021311,infection,none,abscess bacterial,0.1,0.03
135,C0021311,infection,none,swelling,0.6,0.03
136,C0021311,infection,none,pain,0.9,0.03
137,C0021311,infection,none,apyrexial,0.3,0.03
138,C0021311,infection,none,cough,0.9,0.03
139,C0042029,infection urinary tract,none,fever,0.9,0.03
140,C0042029,infection urinary tract,none,dysuria,0.6,0.03
141,C0042029,infection urinary tract,none,hematuria,0.6,0.03
142,C0042029,infection urinary tract,none,renal angle tenderness,0.3,0.03
143,C0042029,infection urinary tract,none,lethargy,0.6,0.03
144,C0042029,infection urinary tract,none,asthenia,0.6,0.03
145,C0042029,infection urinary tract,none,hyponatremia,0.3,0.03
146,C0042029,infection urinary tract,none,hemodynamically stable,0.3,0.03
147,C0042029,infection urinary tract,none,distress respiratory,0.3,0.03
148,C0042029,infection urinary tract,none,difficulty passing urine,0.6,0.03
149,C0042029,infection urinary tract,none,mental status changes,0.3,0.03
150,C0042029,infection urinary tract,none,consciousness clear,0.1,0.03
151,C0002871,anemia,none,chill,0.6,0.03
152,C0002871,anemia,none,guaiac positive,0.3,0.03
153,C0002871,anemia,none,monoclonal,0.3,0.03
154,C0002871,anemia,none,ecchymosis,0.6,0.03
155,C0002871,anemia,none,tumor cell invasion,0.1,0.03
156,C0002871,anemia,none,haemorrhage,0.3,0.03
157,C0002871,anemia,none,pallor,0.9,0.03
158,C0002871,anemia,none,asthenia,0.6,0.03
159,C0002871,anemia,none,fatigue,0.9,0.03
160,C0002871,anemia,none,heme positive,0.6,0.03
161,C0002871,anemia,none,pain back,0.6,0.03
162,C0002871,anemia,none,orthostasis,0.6,0.03
163,C0002871,anemia,none,hyponatremia,0.3,0.03
164,C0002871,anemia,none,dizziness,0.6,0.03
165,C0002871,anemia,none,shortness of breath,0.6,0.03
166,C0002871,anemia,none,pain,0.6,0.03
167,C0002871,anemia,none,rhonchus,0.3,0.03
168,C0002871,anemia,none,arthralgia,0.6,0.03
169,C0002871,anemia,none,swelling,0.6,0.03
170,C0002871,anemia,none,transaminitis,0.3,0.03
171,C0024117,chronic obstructive airway disease,none,shortness of breath,0.9,0.03
172,C0024117,chronic obstructive airway disease,none,wheezing,0.9,0.03
173,C0024117,chronic obstructive airway disease,none,cough,0.9,0.03
174,C0024117,chronic obstructive airway disease,none,dyspnea,0.6,0.03
175,C0024117,chronic obstructive airway disease,none,distress respiratory,0.6,0.03
176,C0024117,chronic obstructive airway disease,none,sputum purulent,0.6,0.03
177,C0024117,chronic obstructive airway disease,none,hypoxemia,0.3,0.03
178,C0024117,chronic obstructive airway disease,none,hypercapnia,0.3,0.03
179,C0024117,chronic obstructive airway disease,none,patient non compliance,0.1,0.03
180,C0024117,chronic obstructive airway disease,none,chest tightness,0.6,0.03
181,C0497327,dementia,none,fever,0.9,0.03
182,C0497327,dementia,none,fall,0.6,0.03
183,C0497327,dementia,none,unresponsiveness,0.3,0.03
184,C0497327,dementia,none,lethargy,0.6,0.03
185,C0497327,dementia,none,agitation,0.6,0.03
186,C0497327,dementia,none,ecchymosis,0.3,0.03
187,C0497327,dementia,none,syncope,0.3,0.03
188,C0497327,dementia,none,rale,0.3,0.03
189,C0497327,dementia,none,unconscious state,0.1,0.03
190,C0497327,dementia,none,cough,0.6,0.03
191,C0497327,dementia,none,bedridden,0.6,0.03
192,C0497327,dementia,none,bedridden,0.6,0.03
193,C0497327,dementia,none,pain,0.9,0.03
194,C0497327,dementia,none,facial paresis,0.3,0.03
195,C0497327,dementia,none,abdominal tenderness,0.3,0.03
196,C0497327,dementia,none,rhonchus,0.3,0.03
197,C0497327,dementia,none,unsteady gait,0.6,0.03
198,C0497327,dementia,none,hallucinations auditory,0.3,0.03
199,C1565489,insufficiency renal,none,shortness of breath,0.9,0.03
200,C1565489,insufficiency renal,none,hyperkalemia,0.6,0.03
201,C1565489,insufficiency renal,none,orthopnea,0.6,0.03
202,C1565489,insufficiency renal,none,rale,0.6,0.03
203,C1565489,insufficiency renal,none,urgency ofmicturition,0.6,0.03
204,C1565489,insufficiency renal,none,ascites,0.6,0.03
205,C1565489,insufficiency renal,none,guaiac positive,0.3,0.03
206,C1565489,insufficiency renal,none,asthenia,0.6,0.03
207,C1565489,insufficiency renal,none,apyrexial,0.3,0.03
208,C1565489,insufficiency renal,none,mental status changes,0.6,0.03
209,C1565489,insufficiency renal,none,dyspnea,0.9,0.03
210,C1565489,insufficiency renal,none,difficulty,0.6,0.03
211,C1565489,insufficiency renal,none,diarrhea,0.3,0.03
212,C1565489,insufficiency renal,none,hypotension,0.6,0.03
213,C1565489,insufficiency renal,none,breath sounds decreased,0.6,0.03
214,C1565489,insufficiency renal,none,swelling,0.9,0.03
215,C1565489,insufficiency renal,none,hypokinesia,0.3,0.03
216,C0009676,confusion,none,seizure,0.1,0.03
217,C0009676,confusion,none,enuresis,0.3,0.03
218,C0009676,confusion,none,lethargy,0.6,0.03
219,C0009676,confusion,none,speech slurred,0.6,0.03
220,C0009676,confusion,none,fall,0.6,0.03
221,C0009676,confusion,none,consciousness clear,0.3,0.03
222,C0009676,confusion,none,mental status changes,0.9,0.03
223,C0009676,confusion,none,asterixis,0.3,0.03
224,C0009676,confusion,none,unconscious state,0.1,0.03
225,C0009676,confusion,none,agitation,0.6,0.03
226,C0009676,confusion,none,muscle twitch,0.3,0.03
227,C0009676,confusion,none,asthenia,0.6,0.03
228,C0009676,confusion,none,sleepy,0.6,0.03
229,C0009676,confusion,none,dizziness,0.9,0.03
230,C0009676,confusion,none,headache,0.9,0.03
231,C0009676,confusion,none,dysarthria,0.6,0.03
232,C0009676,confusion,none,lightheadedness,0.6,0.03
233,C0009676,confusion,none,tremor,0.3,0.03
234,C0009676,confusion,none,hyponatremia,0.3,0.03
235,C0009676,confusion,none,unresponsiveness,0.1,0.03
236,C0029408,degenerativepolyarthritis,none,pain,0.9,0.03
237,C0029408,degenerativepolyarthritis,none,food intolerance,0.6,0.03
238,C0029408,degenerativepolyarthritis,none,numbness of hand,0.3,0.03
239,C0029408,degenerativepolyarthritis,none,general discomfort,0.6,0.03
240,C0029408,degenerativepolyarthritis,none,drowsiness,0.6,0.03
241,C0029408,degenerativepolyarthritis,none,asthenia,0.6,0.03
242,C0029408,degenerativepolyarthritis,none,nonsmoker,0.3,0.03
243,C0029408,degenerativepolyarthritis,none,non,0.3,0.03
244,C0029408,degenerativepolyarthritis,none,polydypsia,0.1,0.03
245,C0029408,degenerativepolyarthritis,none,stiffness,0.9,0.03
246,C0029408,degenerativepolyarthritis,none,unsteady gait,0.6,0.03
247,C0006826,malignant neoplasms or primary malignant neoplasm,none,pain,0.9,0.03
248,C0006826,malignant neoplasms or primary malignant neoplasm,none,mass of body structure,0.9,0.03
249,C0006826,malignant neoplasms or primary malignant neoplasm,none,lesion,0.9,0.03
250,C0006826,malignant neoplasms or primary malignant neoplasm,none,cushingoid facies,0.6,0.03
251,C0006826,malignant neoplasms or primary malignant neoplasm,none,cushingoidhabitus,0.6,0.03
252,C0006826,malignant neoplasms or primary malignant neoplasm,none,emphysematous change,0.3,0.03
253,C0006826,malignant neoplasms or primary malignant neoplasm,none,decreased body weight,0.6,0.03
254,C0006826,malignant neoplasms or primary malignant neoplasm,none,ascites,0.6,0.03
255,C0006826,malignant neoplasms or primary malignant neoplasm,none,hoarseness,0.6,0.03
256,C0006826,malignant neoplasms or primary malignant neoplasm,none,thicken,0.6,0.03
257,C0006826,malignant neoplasms or primary malignant neoplasm,none,hematuria,0.6,0.03
258,C0006826,malignant neoplasms or primary malignant neoplasm,none,pulsusparadoxus,0.3,0.03
259,C0006826,malignant neoplasms or primary malignant neoplasm,none,gravida 10,0.1,0.03
260,C0006826,malignant neoplasms or primary malignant neoplasm,none,mass of body structure,0.9,0.03
261,C0006826,malignant neoplasms or primary malignant neoplasm,none,lesion,0.9,0.03
262,C0006826,malignant neoplasms or primary malignant neoplasm,none,heartburn,0.6,0.03
263,C0006826,malignant neoplasms or primary malignant neoplasm,none,night sweat,0.6,0.03
264,C0006826,malignant neoplasms or primary malignant neoplasm,none,thicken,0.6,0.03
265,C0006826,malignant neoplasms or primary malignant neoplasm,none,chill,0.6,0.03
266,C0006826,malignant neoplasms or primary malignant neoplasm,none,decreased translucency,0.3,0.03
267,C0006826,malignant neoplasms or primary malignant neoplasm,none,pain abdominal,0.6,0.03
268,C0006826,malignant neoplasms or primary malignant neoplasm,none,dullness,0.6,0.03
269,C0006826,malignant neoplasms or primary malignant neoplasm,none,food intolerance,0.6,0.03
270,C0006826,malignant neoplasms or primary malignant neoplasm,none,distress respiratory,0.6,0.03
271,C0006826,malignant neoplasms or primary malignant neoplasm,none,hypotension,0.6,0.03
272,C0001175,acquiredimmuno or HIV or hiv infections,none,fever,0.9,0.03
273,C0001175,acquiredimmuno or HIV or hiv infections,none,night sweat,0.6,0.03
274,C0001175,acquiredimmuno or HIV or hiv infections,none,spontaneous rupture of membranes,0.3,0.03
275,C0001175,acquiredimmuno or HIV or hiv infections,none,cough,0.9,0.03
276,C0001175,acquiredimmuno or HIV or hiv infections,none,cough,0.9,0.03
277,C0001175,acquiredimmuno or HIV or hiv infections,none,decreased body weight,0.6,0.03
278,C0001175,acquiredimmuno or HIV or hiv infections,none,chill,0.6,0.03
279,C0001175,acquiredimmuno or HIV or hiv infections,none,diarrhea,0.6,0.03
280,C0001175,acquiredimmuno or HIV or hiv infections,none,pleuritic pain,0.3,0.03
281,C0001175,acquiredimmuno or HIV or hiv infections,none,patient non compliance,0.1,0.03
282,C0001175,acquiredimmuno or HIV or hiv infections,none,tachypnea,0.3,0.03
283,C0001175,acquiredimmuno or HIV or hiv infections,none,productive cough,0.6,0.03
284,C0001175,acquiredimmuno or HIV or hiv infections,none,muscle hypotonia,0.3,0.03
285,C0001175,acquiredimmuno or HIV or hiv infections,none,hypotonic,0.3,0.03
286,C0001175,acquiredimmuno or HIV or hiv infections,none,feeling suicidal,0.1,0.03
287,C0007642,cellulitis,none,erythema,0.9,0.03
288,C0007642,cellulitis,none,pain,0.9,0.03
289,C0007642,cellulitis,none,swelling,0.9,0.03
290,C0007642,cellulitis,none,redness,0.9,0.03
291,C0007642,cellulitis,none,fever,0.6,0.03
292,C0007642,cellulitis,none,abscess bacterial,0.3,0.03
293,C0007642,cellulitis,none,patient non compliance,0.3,0.03
294,C0007642,cellulitis,none,hypesthesia,0.3,0.03
295,C0007642,cellulitis,none,hyperacusis,0.1,0.03
296,C0007642,cellulitis,none,pruritus,0.3,0.03
297,C0007642,cellulitis,none,pain chest,0.3,0.03
298,C0007642,cellulitis,none,scratch marks,0.3,0.03
299,C0007642,cellulitis,none,chill,0.3,0.03
300,C0007642,cellulitis,none,sore to touch,0.6,0.03
301,C0017168,gastroesophageal reflux disease,none,pain,0.6,0.03
302,C0017168,gastroesophageal reflux disease,none,pain chest,0.6,0.03
303,C0017168,gastroesophageal reflux disease,none,burning sensation,0.6,0.03
304,C0017168,gastroesophageal reflux disease,none,hyponatremia,0.3,0.03
305,C0017168,gastroesophageal reflux disease,none,satiety early,0.3,0.03
306,C0017168,gastroesophageal reflux disease,none,throbbing sensation quality,0.3,0.03
307,C0017168,gastroesophageal reflux disease,none,chest tightness,0.6,0.03
308,C0017168,gastroesophageal reflux disease,none,sensory discomfort,0.3,0.03
309,C0017168,gastroesophageal reflux disease,none,presence of q wave,0.3,0.03
310,C0017168,gastroesophageal reflux disease,none,nausea,0.6,0.03
311,C0017168,gastroesophageal reflux disease,none,general discomfort,0.6,0.03
312,C0017168,gastroesophageal reflux disease,none,constipation,0.6,0.03
313,C0017168,gastroesophageal reflux disease,none,palpitation,0.6,0.03
314,C0017168,gastroesophageal reflux disease,none,pain abdominal,0.6,0.03
315,C0017168,gastroesophageal reflux disease,none,heartburn,0.9,0.03
316,C0017168,gastroesophageal reflux disease,none,sweat,0.6,0.03
317,C0017168,gastroesophageal reflux disease,none,sweating increased,0.6,0.03
318,C0017168,gastroesophageal reflux disease,none,asthenia,0.6,0.03
319,C0036690,septicemia or systemic infection or sepsis,none,fever,0.9,0.03
320,C0036690,septicemia or systemic infection or sepsis,none,distress respiratory,0.6,0.03
321,C0036690,septicemia or systemic infection or sepsis,none,hypotension,0.6,0.03
322,C0036690,septicemia or systemic infection or sepsis,none,tachypnea,0.6,0.03
323,C0036690,septicemia or systemic infection or sepsis,none,chill,0.6,0.03
324,C0036690,septicemia or systemic infection or sepsis,none,lethargy,0.6,0.03
325,C0036690,septicemia or systemic infection or sepsis,none,bradycardia,0.3,0.03
326,C0036690,septicemia or systemic infection or sepsis,none,breech presentation,0.3,0.03
327,C0036690,septicemia or systemic infection or sepsis,none,cyanosis,0.3,0.03
328,C0036690,septicemia or systemic infection or sepsis,none,spontaneous rupture of membranes,0.3,0.03
329,C0036690,septicemia or systemic infection or sepsis,none,haemorrhage,0.3,0.03
330,C0036690,septicemia or systemic infection or sepsis,none,unresponsiveness,0.3,0.03
331,C0036690,septicemia or systemic infection or sepsis,none,rale,0.3,0.03
332,C0036690,septicemia or systemic infection or sepsis,none,apyrexial,0.1,0.03
333,C0149871,deep vein thrombosis,none,swelling,0.9,0.03
334,C0149871,deep vein thrombosis,none,pain,0.9,0.03
335,C0149871,deep vein thrombosis,none,ecchymosis,0.6,0.03
336,C0149871,deep vein thrombosis,none,shortness of breath,0.6,0.03
337,C0149871,deep vein thrombosis,none,pain in lower limb,0.6,0.03
338,C0149871,deep vein thrombosis,none,cardiomegaly,0.3,0.03
339,C0149871,deep vein thrombosis,none,rale,0.3,0.03
340,C0149871,deep vein thrombosis,none,erythema,0.3,0.03
341,C0149871,deep vein thrombosis,none,hypotension,0.1,0.03
342,C0149871,deep vein thrombosis,none,clonus,0.1,0.03
343,C0149871,deep vein thrombosis,none,redness,0.6,0.03
344,C0011175,dehydration,none,fever,0.9,0.03
345,C0011175,dehydration,none,diarrhea,0.6,0.03
346,C0011175,dehydration,none,vomiting,0.6,0.03
347,C0011175,dehydration,none,hypotension,0.3,0.03
348,C0011175,dehydration,none,nausea,0.9,0.03
349,C0011175,dehydration,none,lightheadedness,0.6,0.03
350,C0011175,dehydration,none,unwell,0.6,0.03
351,C0011175,dehydration,none,mental status changes,0.3,0.03
352,C0011175,dehydration,none,anorexia,0.3,0.03
353,C0011175,dehydration,none,asthenia,0.6,0.03
354,C0011175,dehydration,none,sensory discomfort,0.3,0.03
355,C0011175,dehydration,none,syncope,0.3,0.03
356,C0011175,dehydration,none,lethargy,0.6,0.03
357,C0011175,dehydration,none,dizziness,0.9,0.03
358,C0011175,dehydration,none,syncope,0.3,0.03
359,C0011175,dehydration,none,blackout,0.1,0.03
360,C0011175,dehydration,none,history of,0.3,0.03
361,C0027651,neoplasm,none,mass of body structure,0.6,0.03
362,C0027651,neoplasm,none,lesion,0.6,0.03
363,C0027651,neoplasm,none,pain chest,0.6,0.03
364,C0027651,neoplasm,none,hematuria,0.6,0.03
365,C0027651,neoplasm,none,tumor cell invasion,0.6,0.03
366,C0027651,neoplasm,none,pain,0.9,0.03
367,C0027651,neoplasm,none,anosmia,0.3,0.03
368,C0027651,neoplasm,none,thicken,0.6,0.03
369,C0027651,neoplasm,none,metastatic lesion,0.6,0.03
370,C0027651,neoplasm,none,food intolerance,0.3,0.03
371,C0027651,neoplasm,none,decreased body weight,0.6,0.03
372,C0027651,neoplasm,none,night sweat,0.6,0.03
373,C0027651,neoplasm,none,hemianopsia homonymous,0.1,0.03
374,C0027651,neoplasm,none,satiety early,0.3,0.03
375,C0027651,neoplasm,none,pain abdominal,0.6,0.03
376,C0027651,neoplasm,none,headache,0.6,0.03
377,C0034065,embolism pulmonary,none,shortness of breath,0.9,0.03
378,C0034065,embolism pulmonary,none,hypoxemia,0.9,0.03
379,C0034065,embolism pulmonary,none,tachypnea,0.9,0.03
380,C0034065,embolism pulmonary,none,hematocrit decreased,0.6,0.03
381,C0034065,embolism pulmonary,none,pain chest,0.9,0.03
382,C0034065,embolism pulmonary,none,dyspnea,0.9,0.03
383,C0034065,embolism pulmonary,none,pleuritic pain,0.6,0.03
384,C0034065,embolism pulmonary,none,neck stiffness,0.3,0.03
385,C0034065,embolism pulmonary,none,yellow sputum,0.3,0.03
386,C0034065,embolism pulmonary,none,productive cough,0.6,0.03
387,C0034065,embolism pulmonary,none,cicatrisation,0.1,0.03
388,C0034065,embolism pulmonary,none,unresponsiveness,0.1,0.03
389,C0034065,embolism pulmonary,none,distress respiratory,0.9,0.03
390,C0034065,embolism pulmonary,none,wheezing,0.6,0.03
391,C0034065,embolism pulmonary,none,apyrexial,0.3,0.03
392,C0034065,embolism pulmonary,none,non,0.3,0.03
393,C0014544,epilepsy,none,seizure,0.9,0.03
394,C0014544,epilepsy,none,hypometabolism,0.6,0.03
395,C0014544,epilepsy,none,aura,0.6,0.03
396,C0014544,epilepsy,none,muscle twitch,0.6,0.03
397,C0014544,epilepsy,none,drowsiness,0.6,0.03
398,C0014544,epilepsy,none,tremor,0.6,0.03
399,C0014544,epilepsy,none,unresponsiveness,0.6,0.03
400,C0014544,epilepsy,none,hemiplegia,0.3,0.03
401,C0014544,epilepsy,none,myoclonus,0.3,0.03
402,C0014544,epilepsy,none,gurgle,0.1,0.03
403,C0014544,epilepsy,none,sleepy,0.6,0.03
404,C0014544,epilepsy,none,lethargy,0.6,0.03
405,C0014544,epilepsy,none,wheelchair bound,0.1,0.03
406,C0878544,cardiomyopathy,none,shortness of breath,0.9,0.03
407,C0878544,cardiomyopathy,none,orthopnea,0.6,0.03
408,C0878544,cardiomyopathy,none,hypokinesia,0.6,0.03
409,C0878544,cardiomyopathy,none,jugular venous distention,0.6,0.03
410,C0878544,cardiomyopathy,none,palpitation,0.6,0.03
411,C0878544,cardiomyopathy,none,pain chest,0.6,0.03
412,C0878544,cardiomyopathy,none,syncope,0.3,0.03
413,C0878544,cardiomyopathy,none,yellow sputum,0.3,0.03
414,C0878544,cardiomyopathy,none,rale,0.6,0.03
415,C0878544,cardiomyopathy,none,dyspnea,0.9,0.03
416,C0878544,cardiomyopathy,none,dyspnea on exertion,0.9,0.03
417,C0878544,cardiomyopathy,none,leftatrialhypertrophy,0.6,0.03
418,C0878544,cardiomyopathy,none,fatigue,0.9,0.03
419,C0878544,cardiomyopathy,none,weight gain,0.6,0.03
420,C0878544,cardiomyopathy,none,patient non compliance,0.6,0.03
421,C0007097,carcinoma,none,mass of body structure,0.9,0.03
422,C0007097,carcinoma,none,pain,0.9,0.03
423,C0007097,carcinoma,none,lesion,0.6,0.03
424,C0007097,carcinoma,none,tumor cell invasion,0.9,0.03
425,C0007097,carcinoma,none,thicken,0.6,0.03
426,C0007097,carcinoma,none,decreased body weight,0.6,0.03
427,C0007097,carcinoma,none,hoarseness,0.3,0.03
428,C0007097,carcinoma,none,general discomfort,0.6,0.03
429,C0007097,carcinoma,none,metastatic lesion,0.6,0.03
430,C0007097,carcinoma,none,non,0.3,0.03
431,C0007097,carcinoma,none,constipation,0.6,0.03
432,C0007097,carcinoma,none,unhappy,0.3,0.03
433,C0007097,carcinoma,none,paresthesia,0.3,0.03
434,C0007097,carcinoma,none,gravida 0,0.3,0.03
435,C0007097,carcinoma,none,diarrhea,0.6,0.03
436,C0007097,carcinoma,none,sore to touch,0.6,0.03
